"","Gene1","Gene2","corA","corA_pVal","corB","corB_pVal","zScoreDiff","pValDiff","Classes"
"24","222996_s_at","233955_x_at",0.868672341220557,0,0.988042556004335,0,10.5102841064686,7.74598439110217e-26,"+/+"
"137","222996_s_at","224516_s_at",0.726878481015314,0,0.964292552028235,0,9.24948689596923,2.25572900496035e-20,"+/+"
"466","224516_s_at","233955_x_at",0.844177806491168,0,0.973184491500073,0,7.81281982410417,5.592251171036e-15,"+/+"
"6557","224516_s_at","229177_at",0.514004703399677,0.0000000450913051341928,0.142727643628485,0.0133431686317109,-3.62945100943274,0.000284024626625846,"+/+"
"7668","222996_s_at","229177_at",0.478517919938317,0.000000476403852811558,0.130185037396619,0.0241293896715957,-3.3360133418704,0.000849890849212931,"+/+"
"12641","224516_s_at","225799_at",0.0990457630587952,0.326879608265344,-0.177291881436139,0.00205324488646985,-2.38193459542745,0.0172219559276805,"0/-"
"14365","224516_s_at","238178_at",0.460507806027582,0.00000142910889477932,0.246659072735196,0.0000155057257047453,-2.10442451121659,0.0353414331476583,"+/+"
"14495","224516_s_at","227198_at",0.345350483917436,0.000433166648877048,0.115853808269477,0.0449602621574696,-2.0845460432494,0.0371105266243089,"+/+"
"15894","224516_s_at","224654_at",-0.398473130628479,0.0000402510407444545,-0.199960638694678,0.000493583591736568,1.87387064776239,0.0609482559811431,"-/-"
"16141","222996_s_at","224654_at",-0.350489973454677,0.000350314333360746,-0.150525870833481,0.00902265207855235,1.8326787635349,0.0668503572451247,"-/-"
"16146","222996_s_at","231015_at",0.355084641281118,0.000288868683639087,0.155767451258162,0.00686696524413621,-1.83165553477941,0.0670027572800332,"+/+"
"17408","224516_s_at","227419_x_at",0.322706673526374,0.0010582421908234,0.139393786721881,0.0156877918690743,-1.66195333875836,0.0965221306829565,"+/+"
"17461","222996_s_at","225799_at",0.00769173292244745,0.93945776299983,-0.183695362604937,0.00139515859503958,-1.65458351055456,0.0980090106148922,"0/-"
"17641","222996_s_at","226303_at",-0.0730980215145447,0.469828764696366,0.11690405038906,0.0430394263541576,1.63041274484213,0.103014292837538,"0/+"
"18484","222996_s_at","238075_at",-0.314684213925787,0.00142915165854718,-0.1462132857434,0.0112268703302947,1.52607003560327,0.12699242354399,"-/-"
"18688","222996_s_at","226319_s_at",-0.324316982748384,0.000995316149961845,-0.159598415106037,0.00559589492753254,1.50060704048639,0.133457229267597,"-/-"
"18821","222996_s_at","238178_at",0.39354675565252,0.0000510622641316516,0.23761679534532,0.000032080706531934,-1.48567415462821,0.137365330094282,"+/+"
"19698","222996_s_at","228802_at",-0.0164800870198326,0.87072319020456,0.143445803747452,0.0128804730310912,1.37605470063284,0.16880469867731,"0/+"
"20539","233955_x_at","238178_at",0.410058240162186,0.0000226612730709341,0.279345644281481,0.000000881374216943343,-1.2716083063328,0.203512324012585,"+/+"
"21124","224516_s_at","226320_at",-0.0572883051930809,0.571294694078241,-0.195091378251732,0.000679598082632182,-1.19947600662866,0.230342908839726,"0/-"
"22301","233955_x_at","238075_at",-0.285339564141131,0.00400713251055596,-0.168217823646673,0.00347448720391208,1.05735737182393,0.29034851866109,"-/-"
"22376","222996_s_at","225915_at",0.114409402737655,0.257031105127637,0.23325240721233,0.0000451139329555872,1.04932275181167,0.294029597991702,"0/+"
"23295","224516_s_at","238075_at",-0.294850096953652,0.00290200190373069,-0.191169329302407,0.000874490031033792,0.94333857382652,0.345507751470056,"-/-"
"23403","224516_s_at","225915_at",0.126203739676612,0.210868850886519,0.231251610052313,0.0000526326058727378,0.928902892901052,0.352939413634268,"0/+"
"23518","222996_s_at","48031_r_at",0.129361260750031,0.199581073996211,0.233001491732997,0.0000459979166014257,0.917270168233292,0.359001085577541,"0/+"
"23727","233955_x_at","48031_r_at",0.159366918181427,0.113245421863509,0.259291695340868,0.0000053550091696497,0.89453402438386,0.371036233697586,"0/+"
"23731","224516_s_at","231015_at",0.260451695245778,0.00886792304958517,0.16060788271365,0.00529821288121757,-0.89428133907101,0.371171381767029,"+/+"
"23782","224516_s_at","238751_at",0.127213380737367,0.207211122552141,0.227576475189596,0.0000696141661875593,0.886956676223456,0.375102225931298,"0/+"
"23914","224516_s_at","228802_at",0.0593457752750921,0.557530278730835,0.160247316232055,0.00540286597613182,0.874123488408313,0.382051007295836,"0/+"
"23919","222996_s_at","227826_s_at",0.0720413151713146,0.476290144604608,0.172577635817459,0.00270699909949745,0.873533063488622,0.382372592714578,"0/+"
"24257","224516_s_at","229019_at",0.0939867211330732,0.352313240227127,0.189124410681272,0.000995439179798829,0.830847615346906,0.406059719885968,"0/+"
"24406","224516_s_at","229288_at",0.0202917121545706,0.84117826352747,0.114709458036044,0.047134583332969,0.81167710983108,0.416976932201861,"0/+"
"24700","224516_s_at","226192_at",0.229244643914003,0.0217750684297613,0.14103376330437,0.0144928278043164,-0.781661527838481,0.4344135170821,"+/+"
"24780","222996_s_at","226320_at",-0.263085685193797,0.00818021864935758,-0.17712171116479,0.00207408022055988,0.773103377824694,0.439461202210485,"-/-"
