"","x"
"1","243858_at"
"2","243858_at"
"3","224896_s_at"
"4","243858_at"
"5","227801_at"
"6","224896_s_at"
"7","243386_at"
"8","225329_at"
"9","231648_at"
"10","225355_at"
"11","243386_at"
"12","223058_at"
"13","230006_s_at"
"14","235766_x_at"
"15","226770_at"
"16","61734_at"
"17","225329_at"
"18","229661_at"
"19","243386_at"
"20","231648_at"
"21","229254_at"
"22","235638_at"
"23","234838_at"
"24","229218_at"
"25","243309_at"
"26","231786_at"
"27","229265_at"
"28","233634_at"
"29","61734_at"
"30","241137_at"
"31","227801_at"
"32","61734_at"
"33","223059_s_at"
"34","223727_at"
"35","238455_at"
"36","238455_at"
"37","229265_at"
"38","235638_at"
"39","228231_at"
"40","229948_at"
"41","233367_at"
"42","226311_at"
"43","229661_at"
"44","227140_at"
"45","230006_s_at"
"46","238663_x_at"
"47","234838_at"
"48","226311_at"
"49","226828_s_at"
"50","224134_at"
"51","241137_at"
"52","227614_at"
"53","242726_at"
"54","225355_at"
"55","228703_at"
"56","226770_at"
"57","235766_x_at"
"58","229555_at"
"59","231646_at"
"60","235766_x_at"
"61","231766_s_at"
"62","225571_at"
"63","229695_at"
"64","229849_at"
"65","238862_at"
"66","229554_at"
"67","226306_at"
"68","228642_at"
"69","229530_at"
"70","231014_at"
"71","242913_at"
"72","235050_at"
"73","233446_at"
"74","243309_at"
"75","229254_at"
"76","242726_at"
"77","238455_at"
"78","228785_at"
"79","226237_at"
"80","227140_at"
"81","226997_at"
"82","231014_at"
"83","239168_at"
"84","233082_at"
"85","233634_at"
"86","238178_at"
"87","235638_at"
"88","229176_at"
"89","229218_at"
"90","226374_at"
"91","231605_at"
"92","233955_x_at"
"93","243309_at"
"94","231786_at"
"95","238623_at"
"96","226828_s_at"
"97","227771_at"
"98","236098_at"
"99","233082_at"
"100","226997_at"
"101","231605_at"
"102","229554_at"
"103","243177_at"
"104","237922_at"
"105","228642_at"
"106","243177_at"
"107","236098_at"
"108","228231_at"
"109","231766_s_at"
"110","241137_at"
"111","230271_at"
"112","228785_at"
"113","238663_x_at"
"114","231646_at"
"115","233367_at"
"116","234370_at"
"117","226237_at"
"118","238623_at"
"119","235050_at"
"120","229948_at"
"121","239168_at"
"122","242913_at"
"123","234370_at"
"124","229530_at"
"125","226560_at"
"126","227614_at"
"127","234838_at"
"128","229176_at"
"129","242726_at"
"130","227491_at"
"131","238862_at"
"132","233446_at"
"133","229695_at"
"134","238019_at"
"135","230271_at"
"136","224516_s_at"
"137","233955_x_at"
"138","222996_s_at"
